Case_ID,Transaction_ID,From_Account,To_Account,Amount,Date,Time,IP,Phone,Email
C005,T00063,ACC0421,ACC0245,61045,2023-05-21,10:55,192.168.1.27,7472360950,user57@example.com
C002,T00064,ACC0459,ACC0318,8163,2023-01-10,13:21,192.168.1.47,6159853865,user72@example.com
C018,T00065,ACC0319,ACC0294,8979,2023-06-20,12:58,192.168.1.39,8786001402,user91@example.com
C020,T00066,ACC0323,ACC0161,61052,2023-06-08,14:35,192.168.1.1,8332804232,user58@example.com
C007,T00067,ACC0420,ACC0139,8070,2023-01-01,22:01,192.168.1.25,9596216699,user19@example.com
C018,T00068,ACC0372,ACC0008,56008,2023-03-16,13:29,192.168.1.11,9065427609,user22@example.com
C002,T00069,ACC0331,ACC0488,25537,2023-06-10,05:46,192.168.1.35,7863677453,user91@example.com
C018,T00070,ACC0279,ACC0398,27482,2023-06-11,09:46,192.168.1.35,6343121319,user22@example.com
C019,T00071,ACC0438,ACC0490,57566,2023-02-21,18:04,192.168.1.47,6597366321,user49@example.com
C006,T00072,ACC0305,ACC0034,51697,2023-04-01,07:01,192.168.1.44,9919786559,user49@example.com
C014,T00073,ACC0439,ACC0077,13049,2023-02-01,02:08,192.168.1.8,7749388328,user82@example.com
C007,T00074,ACC0141,ACC0461,61956,2023-06-11,21:16,192.168.1.47,7141735120,user70@example.com
C001,T00075,ACC0378,ACC0089,17184,2023-03-08,02:57,192.168.1.15,8266731132,user5@example.com
C002,T00076,ACC0099,ACC0369,44649,2023-04-04,00:55,192.168.1.14,6212591176,user79@example.com
C014,T00077,ACC0261,ACC0093,67231,2023-04-05,07:32,192.168.1.49,7816748702,user85@example.com
C008,T00078,ACC0112,ACC0137,25313,2023-05-23,02:22,192.168.1.44,7481260640,user68@example.com
C009,T00079,ACC0081,ACC0390,48832,2023-02-19,13:07,192.168.1.26,6343121319,user92@example.com
C018,T00080,ACC0308,ACC0190,21763,2023-01-07,13:34,192.168.1.18,8966336144,user9@example.com
C011,T00081,ACC0092,ACC0162,90396,2023-03-22,02:58,192.168.1.31,6256720444,user17@example.com
C008,T00082,ACC0481,ACC0316,97262,2023-06-13,05:46,192.168.1.8,9857742175,user67@example.com
C001,T00083,ACC0155,ACC0375,55925,2023-02-28,00:21,192.168.1.12,6241776141,user2@example.com
C004,T00084,ACC0146,ACC0372,17984,2023-03-08,17:06,192.168.1.15,7065339454,user3@example.com
C001,T00085,ACC0074,ACC0196,90839,2023-02-24,08:07,192.168.1.23,6556220817,user1@example.com
C012,T00086,ACC0397,ACC0114,98875,2023-06-23,12:20,192.168.1.12,6212591176,user69@example.com
C005,T00087,ACC0451,ACC0105,84308,2023-06-12,03:17,192.168.1.50,9919786559,user28@example.com
C013,T00088,ACC0008,ACC0103,87250,2023-02-27,05:21,192.168.1.46,6787254499,user14@example.com
C006,T00089,ACC0037,ACC0247,16633,2023-06-19,10:41,192.168.1.35,8966336144,user23@example.com
C001,T00090,ACC0063,ACC0190,54574,2023-03-19,02:11,192.168.1.20,6075693840,user51@example.com
C010,T00091,ACC0198,ACC0359,71661,2023-06-02,02:51,192.168.1.25,8266731132,user85@example.com
C014,T00092,ACC0280,ACC0178,56216,2023-02-22,16:19,192.168.1.25,8490349932,user30@example.com
C005,T00093,ACC0022,ACC0083,39112,2023-06-11,23:59,192.168.1.48,6597366321,user29@example.com
C015,T00094,ACC0232,ACC0433,87667,2023-04-04,07:49,192.168.1.28,7816748702,user45@example.com
C004,T00095,ACC0473,ACC0090,16448,2023-04-29,17:04,192.168.1.44,9012886331,user20@example.com
C009,T00096,ACC0199,ACC0318,1597,2023-03-31,05:28,192.168.1.36,9992380683,user57@example.com
C017,T00097,ACC0453,ACC0174,41984,2023-02-19,03:24,192.168.1.46,7551777988,user24@example.com
C010,T00098,ACC0045,ACC0046,55182,2023-03-06,06:42,192.168.1.47,8490349932,user47@example.com
C017,T00099,ACC0134,ACC0211,94470,2023-02-16,15:22,192.168.1.10,7166156988,user3@example.com
C013,T00100,ACC0163,ACC0315,91872,2023-05-24,22:54,192.168.1.19,6298832043,user59@example.com
C012,T00101,ACC0222,ACC0010,75467,2023-05-31,05:27,192.168.1.19,6640825635,user34@example.com
C008,T00102,ACC0479,ACC0416,54412,2023-05-05,06:43,192.168.1.38,7304487890,user35@example.com
C004,T00103,ACC0473,ACC0279,16061,2023-04-25,21:00,192.168.1.49,6597366321,user57@example.com
C002,T00104,ACC0299,ACC0350,43150,2023-06-11,18:42,192.168.1.6,6265275990,user100@example.com
C008,T00105,ACC0149,ACC0317,47106,2023-05-13,13:48,192.168.1.14,7512704154,user22@example.com
C004,T00106,ACC0432,ACC0185,95329,2023-01-17,18:32,192.168.1.43,9596216699,user96@example.com
C003,T00107,ACC0244,ACC0481,83291,2023-04-30,22:08,192.168.1.37,8774650162,user74@example.com
C012,T00108,ACC0098,ACC0147,5258,2023-02-07,05:56,192.168.1.37,7816748702,user64@example.com
C003,T00109,ACC0115,ACC0399,46405,2023-03-12,17:32,192.168.1.22,7097967409,user5@example.com
C011,T00110,ACC0416,ACC0017,62957,2023-03-01,14:35,192.168.1.19,6339920824,user87@example.com
C014,T00111,ACC0467,ACC0182,31164,2023-06-20,01:28,192.168.1.17,6102534458,user45@example.com
C009,T00112,ACC0119,ACC0004,54346,2023-05-11,03:07,192.168.1.11,6713738693,user98@example.com
C016,T00113,ACC0338,ACC0024,14711,2023-03-23,15:23,192.168.1.17,7141735120,user3@example.com
C011,T00114,ACC0089,ACC0169,5513,2023-03-20,13:55,192.168.1.23,6364271968,user99@example.com
C017,T00115,ACC0172,ACC0476,90234,2023-03-17,08:45,192.168.1.26,6361615148,user41@example.com
C003,T00116,ACC0436,ACC0293,4849,2023-03-25,22:04,192.168.1.24,7353435606,user40@example.com
C019,T00117,ACC0345,ACC0237,32764,2023-03-08,02:53,192.168.1.16,6690167049,user11@example.com
C019,T00118,ACC0352,ACC0434,8511,2023-01-30,20:44,192.168.1.45,9524267122,user17@example.com
C020,T00119,ACC0495,ACC0431,92038,2023-05-26,01:32,192.168.1.11,6343121319,user51@example.com
C010,T00120,ACC0242,ACC0455,26835,2023-04-12,09:21,192.168.1.7,7065339454,user33@example.com
C013,T00121,ACC0375,ACC0008,2603,2023-04-20,04:49,192.168.1.37,7472360950,user28@example.com
C017,T00122,ACC0247,ACC0027,54249,2023-02-19,04:51,192.168.1.1,7304487890,user21@example.com
C020,T00123,ACC0006,ACC0218,19258,2023-06-16,20:12,192.168.1.29,7998294103,user18@example.com
C011,T00124,ACC0230,ACC0126,10124,2023-06-27,15:25,192.168.1.5,8966336144,user31@example.com
C020,T00125,ACC0315,ACC0138,91559,2023-01-21,14:36,192.168.1.21,7166156988,user63@example.com
C006,T00126,ACC0232,ACC0152,25130,2023-06-26,11:09,192.168.1.9,8342648194,user44@example.com
C020,T00127,ACC0179,ACC0243,46862,2023-02-01,11:58,192.168.1.32,7971860251,user52@example.com
C012,T00128,ACC0150,ACC0194,60623,2023-04-02,06:08,192.168.1.47,6102534458,user35@example.com
C006,T00129,ACC0332,ACC0046,98612,2023-04-19,15:46,192.168.1.31,9053720883,user6@example.com
C015,T00130,ACC0109,ACC0037,22811,2023-04-22,08:29,192.168.1.35,6343121319,user97@example.com
C009,T00131,ACC0337,ACC0461,12933,2023-04-22,04:04,192.168.1.24,7054675997,user95@example.com
C001,T00132,ACC0306,ACC0138,44804,2023-02-12,22:32,192.168.1.47,9857742175,user88@example.com
C010,T00133,ACC0244,ACC0063,7996,2023-06-30,23:20,192.168.1.25,9790704115,user58@example.com
C015,T00134,ACC0472,ACC0109,2008,2023-04-24,20:20,192.168.1.29,7379961739,user38@example.com
C019,T00135,ACC0425,ACC0374,44478,2023-01-29,10:07,192.168.1.5,9481505619,user4@example.com
C016,T00136,ACC0138,ACC0126,38701,2023-06-26,04:03,192.168.1.16,8681135640,user53@example.com
C014,T00137,ACC0150,ACC0331,85935,2023-03-14,00:50,192.168.1.48,8904300116,user95@example.com
C018,T00138,ACC0127,ACC0129,48883,2023-04-16,04:40,192.168.1.23,8316770490,user25@example.com
C008,T00139,ACC0398,ACC0226,29932,2023-02-28,15:52,192.168.1.13,7833862491,user63@example.com
C007,T00140,ACC0466,ACC0458,81369,2023-01-26,21:04,192.168.1.25,7816748702,user33@example.com
C015,T00141,ACC0225,ACC0325,47102,2023-01-26,04:22,192.168.1.1,8702670225,user69@example.com
C014,T00142,ACC0139,ACC0488,80041,2023-05-20,09:30,192.168.1.12,8702670225,user22@example.com
C004,T00143,ACC0483,ACC0449,68751,2023-01-30,01:35,192.168.1.5,6241776141,user17@example.com
C019,T00144,ACC0474,ACC0393,9110,2023-02-25,21:52,192.168.1.37,6364271968,user15@example.com
C016,T00145,ACC0042,ACC0140,71308,2023-03-10,07:58,192.168.1.20,8266731132,user2@example.com
C017,T00146,ACC0298,ACC0212,94401,2023-02-09,04:31,192.168.1.30,6127847302,user56@example.com
C002,T00147,ACC0308,ACC0098,17419,2023-04-18,15:51,192.168.1.38,8332804232,user24@example.com
C006,T00148,ACC0383,ACC0005,35794,2023-04-21,23:33,192.168.1.3,7551777988,user99@example.com
C016,T00149,ACC0487,ACC0302,70679,2023-06-01,12:33,192.168.1.23,6241776141,user92@example.com
C020,T00150,ACC0122,ACC0073,75391,2023-03-18,10:52,192.168.1.3,8509012347,user68@example.com
C006,T00151,ACC0331,ACC0013,34481,2023-05-27,06:50,192.168.1.31,9053720883,user100@example.com
C018,T00152,ACC0123,ACC0144,14198,2023-01-07,02:22,192.168.1.8,9398869574,user27@example.com
C009,T00153,ACC0018,ACC0212,36358,2023-05-04,15:38,192.168.1.33,6713738693,user97@example.com
C017,T00154,ACC0071,ACC0224,1074,2023-03-04,02:55,192.168.1.34,9790704115,user88@example.com
C009,T00155,ACC0046,ACC0128,29011,2023-01-05,13:28,192.168.1.2,6713738693,user6@example.com
C013,T00156,ACC0313,ACC0152,59367,2023-06-02,22:41,192.168.1.43,8094684812,user28@example.com
C007,T00157,ACC0118,ACC0343,2871,2023-05-31,00:30,192.168.1.31,7723975431,user88@example.com
C020,T00158,ACC0311,ACC0173,63460,2023-01-26,09:18,192.168.1.28,9424753779,user44@example.com
C008,T00159,ACC0139,ACC0247,61857,2023-06-30,15:50,192.168.1.25,9857742175,user23@example.com
C012,T00160,ACC0025,ACC0446,13429,2023-02-16,04:04,192.168.1.37,9053720883,user47@example.com
C011,T00161,ACC0361,ACC0473,15160,2023-01-24,18:04,192.168.1.10,8759217831,user40@example.com
C003,T00162,ACC0482,ACC0372,64770,2023-05-20,09:10,192.168.1.46,6877612879,user51@example.com
C014,T00163,ACC0452,ACC0078,64614,2023-01-21,06:31,192.168.1.10,8100463831,user38@example.com
C012,T00164,ACC0491,ACC0368,20548,2023-06-22,16:19,192.168.1.48,6652921161,user52@example.com
C020,T00165,ACC0051,ACC0145,93230,2023-04-11,01:47,192.168.1.34,7576593210,user6@example.com
C010,T00166,ACC0129,ACC0425,61565,2023-05-14,13:33,192.168.1.15,6127847302,user84@example.com
C016,T00167,ACC0340,ACC0073,71813,2023-04-03,02:53,192.168.1.32,9062918245,user62@example.com
C018,T00168,ACC0084,ACC0454,63212,2023-01-20,18:41,192.168.1.17,7710898914,user20@example.com
C020,T00169,ACC0432,ACC0078,81458,2023-02-11,01:08,192.168.1.24,7481260640,user32@example.com
C019,T00170,ACC0061,ACC0363,64634,2023-03-12,16:25,192.168.1.46,6212591176,user27@example.com
C002,T00171,ACC0324,ACC0256,15619,2023-05-30,06:27,192.168.1.34,6787254499,user19@example.com
C003,T00172,ACC0371,ACC0046,87864,2023-06-03,12:00,192.168.1.44,6364271968,user2@example.com
C004,T00173,ACC0167,ACC0385,79587,2023-02-18,04:13,192.168.1.18,9524267122,user81@example.com
C001,T00174,ACC0379,ACC0385,73917,2023-05-15,02:03,192.168.1.22,9919786559,user9@example.com
C020,T00175,ACC0206,ACC0097,25697,2023-02-14,13:15,192.168.1.31,8614333799,user84@example.com
C014,T00176,ACC0235,ACC0178,96008,2023-02-03,19:05,192.168.1.11,6556220817,user29@example.com
C003,T00177,ACC0176,ACC0065,46986,2023-01-27,17:37,192.168.1.3,8759217831,user68@example.com
C013,T00178,ACC0104,ACC0372,40798,2023-01-20,22:20,192.168.1.33,7551777988,user43@example.com
C003,T00179,ACC0034,ACC0353,52053,2023-02-02,09:33,192.168.1.25,8266061295,user44@example.com
C005,T00180,ACC0382,ACC0279,79639,2023-05-04,17:39,192.168.1.9,8681135640,user56@example.com
C014,T00181,ACC0488,ACC0410,90342,2023-03-08,19:37,192.168.1.39,8774650162,user6@example.com
C013,T00182,ACC0018,ACC0149,40076,2023-05-13,12:57,192.168.1.15,6102534458,user76@example.com
C020,T00183,ACC0347,ACC0312,43188,2023-05-04,17:14,192.168.1.48,7971860251,user36@example.com
C020,T00184,ACC0347,ACC0392,28120,2023-04-12,10:25,192.168.1.12,7576593210,user16@example.com
C019,T00185,ACC0464,ACC0153,55771,2023-02-11,21:49,192.168.1.20,6652921161,user73@example.com
C016,T00186,ACC0052,ACC0279,50393,2023-03-06,09:40,192.168.1.47,6102534458,user33@example.com
C004,T00187,ACC0272,ACC0058,42033,2023-02-21,00:12,192.168.1.30,6759158527,user44@example.com
C005,T00188,ACC0272,ACC0205,67626,2023-02-16,09:03,192.168.1.30,8564248902,user20@example.com
C018,T00189,ACC0284,ACC0335,75739,2023-03-15,10:58,192.168.1.49,8266731132,user58@example.com
C017,T00190,ACC0474,ACC0377,41917,2023-01-29,08:22,192.168.1.42,6640825635,user13@example.com
C002,T00191,ACC0245,ACC0308,24808,2023-01-07,22:21,192.168.1.37,7097967409,user28@example.com
C003,T00192,ACC0105,ACC0419,98794,2023-02-08,18:16,192.168.1.3,7079007777,user13@example.com
C009,T00193,ACC0230,ACC0107,7548,2023-06-28,20:26,192.168.1.30,6453930471,user98@example.com
C004,T00194,ACC0302,ACC0407,84511,2023-03-09,06:30,192.168.1.15,7428851976,user70@example.com
C020,T00195,ACC0191,ACC0370,51651,2023-01-13,14:11,192.168.1.13,9992380683,user10@example.com
C003,T00196,ACC0127,ACC0101,88122,2023-03-29,15:53,192.168.1.19,7097967409,user28@example.com
C017,T00197,ACC0353,ACC0126,87874,2023-06-03,12:32,192.168.1.11,9790704115,user27@example.com
C018,T00198,ACC0167,ACC0241,76877,2023-06-29,15:22,192.168.1.31,6265275990,user20@example.com
C004,T00199,ACC0216,ACC0308,30167,2023-06-14,16:35,192.168.1.14,9239123098,user98@example.com
C017,T00200,ACC0277,ACC0328,81969,2023-06-06,07:33,192.168.1.4,9481505619,user87@example.com
C015,T00201,ACC0060,ACC0294,99375,2023-02-14,01:18,192.168.1.18,6256720444,user52@example.com
C009,T00202,ACC0450,ACC0272,93578,2023-05-23,04:39,192.168.1.16,8266731132,user100@example.com
C016,T00203,ACC0073,ACC0396,9474,2023-06-04,13:22,192.168.1.25,7353435606,user35@example.com
C013,T00204,ACC0408,ACC0313,87017,2023-03-08,05:12,192.168.1.28,6535183618,user90@example.com
C012,T00205,ACC0129,ACC0220,20215,2023-04-27,00:18,192.168.1.43,8292127919,user95@example.com
C014,T00206,ACC0474,ACC0224,79773,2023-05-19,22:20,192.168.1.28,7065339454,user73@example.com
C010,T00207,ACC0035,ACC0489,2923,2023-03-10,19:53,192.168.1.12,8875636835,user72@example.com
C007,T00208,ACC0329,ACC0166,9040,2023-01-05,01:27,192.168.1.50,6453930471,user63@example.com
C009,T00209,ACC0007,ACC0016,78930,2023-05-20,15:56,192.168.1.35,9481505619,user95@example.com
C017,T00210,ACC0130,ACC0431,74999,2023-02-06,06:49,192.168.1.38,8774650162,user36@example.com
C009,T00211,ACC0028,ACC0475,61957,2023-04-06,03:48,192.168.1.3,6683783878,user31@example.com
C010,T00212,ACC0472,ACC0162,52773,2023-02-20,03:39,192.168.1.35,7800468073,user62@example.com
C018,T00213,ACC0141,ACC0364,60228,2023-03-18,13:34,192.168.1.10,8851543327,user28@example.com
C012,T00214,ACC0460,ACC0134,21092,2023-04-17,07:37,192.168.1.4,8851543327,user22@example.com
C007,T00215,ACC0019,ACC0452,16846,2023-04-07,22:35,192.168.1.17,8484887910,user21@example.com
C012,T00216,ACC0413,ACC0450,91482,2023-03-20,02:23,192.168.1.11,8759217831,user68@example.com
C001,T00217,ACC0299,ACC0119,33921,2023-05-26,14:52,192.168.1.40,8786001402,user24@example.com
C005,T00218,ACC0341,ACC0185,58305,2023-01-06,14:01,192.168.1.17,8332804232,user68@example.com
C015,T00219,ACC0435,ACC0335,22619,2023-03-06,03:34,192.168.1.1,7833862491,user88@example.com
C006,T00220,ACC0460,ACC0338,86547,2023-02-27,07:11,192.168.1.4,6159853865,user22@example.com
C003,T00221,ACC0425,ACC0022,83413,2023-02-15,19:07,192.168.1.46,6652921161,user38@example.com
C019,T00222,ACC0385,ACC0212,3602,2023-04-21,09:00,192.168.1.31,6256720444,user54@example.com
C020,T00223,ACC0133,ACC0198,89306,2023-04-12,18:01,192.168.1.40,8266061295,user35@example.com
C014,T00224,ACC0351,ACC0482,37457,2023-03-29,04:42,192.168.1.5,8614333799,user88@example.com
C012,T00225,ACC0436,ACC0425,44684,2023-01-14,09:34,192.168.1.43,7304487890,user100@example.com
C020,T00226,ACC0462,ACC0064,97817,2023-03-12,09:32,192.168.1.40,7863677453,user22@example.com
C003,T00227,ACC0470,ACC0405,93128,2023-06-01,08:39,192.168.1.6,7723975431,user91@example.com
C016,T00228,ACC0183,ACC0198,90873,2023-01-21,21:12,192.168.1.24,7166156988,user100@example.com
C001,T00229,ACC0474,ACC0444,60103,2023-04-16,23:39,192.168.1.28,9791498276,user87@example.com
C020,T00230,ACC0147,ACC0338,42346,2023-03-26,18:10,192.168.1.2,8774650162,user66@example.com
C003,T00231,ACC0209,ACC0476,95775,2023-02-09,17:38,192.168.1.3,6690167049,user89@example.com
C002,T00232,ACC0374,ACC0382,45736,2023-06-12,13:03,192.168.1.11,8614333799,user49@example.com
C008,T00233,ACC0338,ACC0178,38820,2023-05-21,12:15,192.168.1.14,8310891037,user16@example.com
C015,T00234,ACC0235,ACC0443,46464,2023-02-26,14:01,192.168.1.6,7166156988,user17@example.com
C019,T00235,ACC0278,ACC0118,19119,2023-03-02,04:08,192.168.1.35,7833862491,user12@example.com
C009,T00236,ACC0440,ACC0145,71672,2023-02-02,09:13,192.168.1.40,8100463831,user29@example.com
C009,T00237,ACC0372,ACC0441,95226,2023-01-03,01:10,192.168.1.43,8681135640,user75@example.com
C013,T00238,ACC0115,ACC0076,10206,2023-03-19,14:59,192.168.1.34,7304487890,user44@example.com
C010,T00239,ACC0466,ACC0492,20674,2023-05-20,16:32,192.168.1.1,8316770490,user29@example.com
C016,T00240,ACC0154,ACC0227,59891,2023-04-30,06:25,192.168.1.4,9424753779,user19@example.com
C003,T00241,ACC0198,ACC0378,18891,2023-01-08,20:10,192.168.1.20,7576593210,user78@example.com
C010,T00242,ACC0009,ACC0032,38107,2023-04-18,03:31,192.168.1.16,6343121319,user44@example.com
C003,T00243,ACC0470,ACC0410,95603,2023-06-25,15:32,192.168.1.43,7723975431,user6@example.com
C013,T00244,ACC0131,ACC0091,9199,2023-06-06,07:24,192.168.1.22,6241776141,user16@example.com
C015,T00245,ACC0200,ACC0144,29396,2023-02-16,16:20,192.168.1.18,7166156988,user74@example.com
C007,T00246,ACC0214,ACC0465,4681,2023-02-07,07:35,192.168.1.28,6759158527,user29@example.com
C011,T00247,ACC0160,ACC0056,39278,2023-05-14,06:36,192.168.1.11,8875636835,user96@example.com
C004,T00248,ACC0457,ACC0193,29714,2023-01-09,18:42,192.168.1.8,9424753779,user37@example.com
C009,T00249,ACC0380,ACC0240,19653,2023-03-20,18:49,192.168.1.49,9992380683,user86@example.com
C012,T00250,ACC0441,ACC0477,6295,2023-05-14,23:07,192.168.1.24,6690167049,user29@example.com
C009,T00251,ACC0262,ACC0367,2648,2023-01-11,16:28,192.168.1.23,6343121319,user35@example.com
C013,T00252,ACC0411,ACC0467,92457,2023-01-05,09:31,192.168.1.44,9131228177,user53@example.com
C017,T00253,ACC0380,ACC0145,64498,2023-06-24,02:47,192.168.1.4,6690167049,user92@example.com
C009,T00254,ACC0168,ACC0285,59843,2023-06-17,19:48,192.168.1.7,7054675997,user76@example.com
C008,T00255,ACC0300,ACC0346,84123,2023-01-23,15:53,192.168.1.41,6453930471,user35@example.com
C005,T00256,ACC0486,ACC0495,37773,2023-02-17,15:15,192.168.1.24,7481260640,user72@example.com
C018,T00257,ACC0113,ACC0324,55731,2023-06-26,22:47,192.168.1.21,9829273911,user87@example.com
C011,T00258,ACC0399,ACC0437,69539,2023-03-06,13:04,192.168.1.5,6212591176,user7@example.com
C005,T00259,ACC0208,ACC0305,40459,2023-03-15,12:25,192.168.1.28,7079007777,user35@example.com
C011,T00260,ACC0286,ACC0045,56480,2023-02-28,23:46,192.168.1.18,6127847302,user9@example.com
C001,T00261,ACC0418,ACC0239,65181,2023-04-05,08:25,192.168.1.16,9481505619,user78@example.com
C014,T00262,ACC0283,ACC0176,3311,2023-04-08,08:49,192.168.1.24,8564248902,user57@example.com
